Local,Latitude,Longitude
C1 - Ponto de Ônibus,"-23,5615568715999","-46,6566132377910"
C2 - Floreira com bancos,"-23,56177827","-46,6563573295075"
C3 - Junto ao Parque,"-23,5617312336051","-46,6565475501036"
C4 - Banca de Jornal,"-23,5619856250458","-46,6561634416607"
V1 - Proximidade da entrada,"-23,5615953235771","-46,6558482821009"
V2 - Junto à calçada,"-23,5615240242870","-46,6561473484081"
V3 - Meio do Vão,"-23,5614023236827","-46,6560829753912"
V4 - Pilares Plinio,"-23,5613144287336","-46,6562123919771"
M1 - Área dos Funcionários,"-23,5614865306770","-46,6556350464846"
M2 - Largo do Mirante,"-23,5612959892227","-46,6558087195185"
M3 - Assentos na mureta,"-23,56136","-46,6556940550823"
M4 - Canto Plinio,"-23,5611607660901","-46,6560045207779"
